,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
0,14.9,21.6,8.8,1017.4,76,0.8,0.9,7.6,172.75
1,14.7,21.6,10.2,1018.1,97,0.6,3.1,9.4,146.79166666666666
2,15,16.8,13.6,1017.5,94,0.5,0.9,7.6,113.875
6,9.8,17.6,6.4,1016.6,90,0.5,3.9,11.1,227.0
7,10.1,14.5,7.2,1019.2,90,0.3,3.3,7.6,231.25
8,10.5,16.3,6.8,1020.1,84,0.5,1.5,5.4,272.125
12,12.3,18.3,4,1017.1,81,0.5,4.8,9.4,228.79166666666666
13,12.1,18.3,9,1017.5,86,0.6,5.2,9.4,200.875
14,12.3,19,5.8,1019.3,82,0.5,0.9,7.6,214.04166666666666
18,13.9,21.6,9.4,1019,79,1,1.9,14.8,217.25
19,13.4,20.7,9.8,1020.1,80,0.8,7.2,11.1,212.45833333333334
20,13.3,17.5,9.5,1021.2,79,0.8,3.7,7.6,202.66666666666666
24,13.1,18.3,8.5,1020.6,80,0.8,4.1,14.8,138.79166666666666
25,13.7,18.3,11.6,1019.9,91,0.6,0.9,7.6,153.08333333333334
26,13.3,18.4,9.8,1019.3,79,1,5.2,14.8,159.70833333333334
30,13.8,21.5,7.2,1018,60,2.4,9.1,24.1,151.875
31,15.1,24,6.7,1017.6,66,1.3,5,11.1,224.79166666666666
32,17.3,23.8,10.4,1017.5,70,1,11.9,18.3,177.625
33,16.7,23.8,13,1020.7,75,0.8,7.2,14.8,149.625
37,15.7,25.6,7.4,1016.9,68,1.4,1.9,7.6,161.16666666666666
38,16.7,25.6,9.3,1017.5,66,1.4,4.4,13,136.75
39,16.9,25.5,10.5,1019.9,65,2.3,5.6,22.2,50.916666666666664
43,17.2,25.5,9.3,1012.8,61,2.4,6.7,20.6,120.20833333333333
44,19.3,28.6,10.6,1009.5,65,2.6,4.3,14.8,137.125
45,18.9,28.6,11.2,1012.8,73,0.8,1.5,7.6,197.08333333333334
49,22.9,29.3,17,1012.4,78,1.6,7.6,14.8,166.375
50,22.8,29.3,18,1013.7,72,1.9,7.2,14.8,126.58333333333333
51,21.9,29.1,15.2,1014.1,69,2.3,11.3,18.3,94.91666666666667
55,23.2,28.6,18.4,1008.5,65,1.4,6.5,13,133.95833333333334
56,20,27.6,14.5,1009.8,42,1.9,6.7,11.1,69.25
57,19.2,27.6,11.1,1013,49,2.6,5.7,11.1,79.29166666666667
59,17.3,19,15.2,1011,94,1.8,14.8,24.1,31.625
60,17.4,22.1,14.6,1012.6,92,1.9,6.7,16.5,20.416666666666668
61,16.1,22.1,12.8,1013.8,84,1.8,5.6,13,61.125
65,18.6,27.3,12.5,1014,79,2.6,3.9,13,49.583333333333336
66,19.4,27.6,14,1015.2,79,2.3,7.8,18.3,34.916666666666664
67,18.1,24.1,13.3,1021.1,60,2.7,12.2,20.6,47.5
71,21.3,28.3,14.2,1014.7,70,1.6,4.1,9.4,128.83333333333334
72,21.6,27.3,15.8,1015.3,71,2.6,7.8,20.6,56.333333333333336
73,17.7,27.3,16,1015.3,92,1.9,11.5,18.3,20.291666666666668
77,21.1,28.3,14,1014.8,69,2.4,5.4,13,59.166666666666664
78,22.5,30.2,14.5,1014.8,68,2.6,9.1,22.2,83.83333333333333
79,24.9,31.7,15.8,1014.8,65,2.6,5.9,13,89.375
83,26.8,35.1,18.5,1011.7,68,2.3,2.6,11.1,101.375
84,28.6,36.5,20.3,1012.4,59,1.8,9.3,55.4,109.75
85,27.7,35.6,20.4,1011.7,54,2.7,7.4,24.1,42.916666666666664
89,25.1,30.8,19,1010.4,70,2.1,3.7,11.1,47.25
90,26.4,32.5,20.3,1007.4,64,1.9,2.4,9.4,81.20833333333333
91,28.7,34.7,21,1004.7,53,1.9,9.4,18.3,52.291666666666664
92,24.4,34.7,19,1004.6,76,3.1,7,14.8,28.458333333333332
